"SPU_hit","SPU_common_name","GO","SPU_description","GID"
"SPU_012122","Sp-Pknox","GO:0000978","PBX/knotted 1 homeobox, Prep","HER_41080.t1"
"SPU_012122","Sp-Pknox","GO:0000978","PBX/knotted 1 homeobox, Prep","HER_41080.t2"
"SPU_012252","Sp-Hox2","GO:0000978","homeobox 2, Sp-Hox2_1","HER_40072.t1"
"SPU_012253","Sp-Eve","GO:0000978","even-skipped homeobox, Sp-Evx","HER_40075.t1"
"SPU_012469","Sp-Elk","GO:0000981","Elk1/3/4-like, member of ETS oncogene family, Net-like, Sap-like","HER_39613.t1"
"SPU_012491","Sp-Nk1","GO:0000978","NK1 homeobox, NK1 transcription factor-related protein, Nkx1, Sax, slouch homolog","HER_8787.t1"
"SPU_012699","Sp-Nkx6-1",NA,"NK6 homeobox 1, Sp-NK6.1","HER_9085.t1"
"SPU_012838","Sp-Creb3L1","GO:0000981","cAMP responsive element binding protein 3-like family member","HER_26681.t1"
"SPU_012838","Sp-Creb3L1","GO:0000981","cAMP responsive element binding protein 3-like family member","HER_26681.t1.1.5f2c6b70"
"SPU_013047","Sp-Nkx3-2","GO:0000978","NK3 homeobox 2-like, Bapx1-like, bagpipe (bap) homolog, NK3, Sp-NK3.2","HER_8726.t1"
"SPU_013119","Sp-SageL2","GO:0000978","salivary gland expressed bHLH-like, Sp-Sage_1","HER_8581.t1"
"SPU_013178","Sp-Nr1m3","GO:0003677","nuclear receptor subfamily 1 group M member 3, NR1-like","HER_1232.t1"
"SPU_013305","Sp-Grf","GO:0000978","GCNF-related factor, Hr4 homolog, steroid hormone receptor 3, SHR3, NR6A2","HER_47566.t1"
"SPU_013305","Sp-Grf","GO:0000978","GCNF-related factor, Hr4 homolog, steroid hormone receptor 3, SHR3, NR6A2","HER_47566.t1.1.5f2c6a79"
"SPU_013305","Sp-Grf","GO:0000978","GCNF-related factor, Hr4 homolog, steroid hormone receptor 3, SHR3, NR6A2","HER_47566.t2"
"SPU_013436","Sp-Gsx","GO:0000981","GS homeobox, Sp-GSH","HER_48911.t1"
"SPU_013569","Sp-Lmo2","GO:0003713","LIM domain only 2 like, rhombotin-2, Sp-Lmo2t","HER_12815.t1"
"SPU_013689","Sp-L3mbt_1","GO:0003682","none","HER_49232.t1"
"SPU_013843","Sp-Nr5a","GO:0000978","nuclear receptor subfamily 5 group A, Ftz-F1 homolog, Sp-FtzF","HER_47574.t1"
"SPU_014170","Sp-SoxF","GO:0000978","SRY (sex determining region Y)-box F, Sox7/17/18-like","HER_3783.t1"
"SPU_014170","Sp-SoxF","GO:0000978","SRY (sex determining region Y)-box F, Sox7/17/18-like","HER_3783.t1.1.5f2c685a"
"SPU_014177","Sp-Lbx","GO:0000981","ladybird homeobox","HER_9150.t1"
"SPU_014249","Sp-Trh","GO:0000977","trachealess homolog, neuronal PAS domain protein, Npas3-like, Mop6-like","HER_17098.t1"
"SPU_014249","Sp-Trh",NA,"trachealess homolog, neuronal PAS domain protein, Npas3-like, Mop6-like","HER_17099.t1"
"SPU_014332","Sp-Usf","GO:0000978","upstream stimulatory factor, Usf1/2","HER_41659.t1"
"SPU_014332","Sp-Usf","GO:0000978","upstream stimulatory factor, Usf1/2","HER_41659.t1.1.5f2c6b24"
"SPU_014528","Sp-Giant","GO:0000978","giant(gt)-like, CES-2 (C. elegans) homolog, Sp-HlfL3","HER_17334.t1"
"SPU_014576","Sp-Pea","GO:0000981","Polyomavirus enhancer activator 3-like, Etv1/4/5-like, ER81-like, E1AF-like, ERM-like ","HER_38722.t1"
"SPU_014576","Sp-Pea","GO:0000981","Polyomavirus enhancer activator 3-like, Etv1/4/5-like, ER81-like, E1AF-like, ERM-like ","HER_38722.t2"
"SPU_014628","Sp-Erf","GO:0000981","Ets2 repressor factor-like, ERF-like, Etv3-like, Mets-like","HER_41741.t1"
"SPU_014628","Sp-Erf","GO:0000981","Ets2 repressor factor-like, ERF-like, Etv3-like, Mets-like","HER_41741.t2"
"SPU_014721","Sp-Pmar1a","GO:0003677","paired-class micromere anti-repressor 1a, Hbox12, micro1","HER_759.t1"
"SPU_014721","Sp-Pmar1a","GO:0000978","paired-class micromere anti-repressor 1a, Hbox12, micro1","HER_761.t1"
"SPU_014721","Sp-Pmar1a","GO:0000978","paired-class micromere anti-repressor 1a, Hbox12, micro1","HER_762.t1"
"SPU_014721","Sp-Pmar1a",NA,"paired-class micromere anti-repressor 1a, Hbox12, micro1","HER_763.t1"
"SPU_014721","Sp-Pmar1a","GO:0003677","paired-class micromere anti-repressor 1a, Hbox12, micro1","HER_764.t1"
"SPU_014721","Sp-Pmar1a","GO:0003677","paired-class micromere anti-repressor 1a, Hbox12, micro1","HER_770.t1"
"SPU_014721","Sp-Pmar1a","GO:0003677","paired-class micromere anti-repressor 1a, Hbox12, micro1","HER_772.t1"
"SPU_014721","Sp-Pmar1a",NA,"paired-class micromere anti-repressor 1a, Hbox12, micro1","HER_773.t1"
"SPU_014721","Sp-Pmar1a","GO:0000978","paired-class micromere anti-repressor 1a, Hbox12, micro1","HER_774.t1"
"SPU_014721","Sp-Pmar1a","GO:0000978","paired-class micromere anti-repressor 1a, Hbox12, micro1","HER_775.t1"
"SPU_014721","Sp-Pmar1a",NA,"paired-class micromere anti-repressor 1a, Hbox12, micro1","HER_776.t1"
"SPU_014721","Sp-Pmar1a","GO:0003677","paired-class micromere anti-repressor 1a, Hbox12, micro1","HER_777.t1"
"SPU_014802","Sp-Hlx","GO:0000981","H2.0-like homeobox","HER_19052.t1"
"SPU_014836","Sp-Cp2","GO:0000978","transcription factor CP2-like, Tfcp2-like, Ubp1-like, gemini homolog","HER_39427.t1"
"SPU_015243","Sp-FoxN2/3","GO:0000987","forkhead box N2/3, checkpoint suppressor\n1","HER_17599.t1"
"SPU_015374","Sp-Id","GO:0000122","inhibitor of DNA binding","HER_5126.t1"
"SPU_015712","Sp-HesD","GO:0000978","hairy and enhancer of split-like D, Sp-Hey4","HER_29054.t1"
"SPU_015719","Sp-FoxL1","GO:0000987","forkhead box L2","HER_39132.t1"
"SPU_015719","Sp-FoxL1","GO:0000978","forkhead box L2","HER_45920.t1"
"SPU_015982","Sp-Gsc","GO:0000977","goosecoid homeobox ","HER_18058.t1"
"SPU_015983","Sp-MyoD3","GO:0000977","myogenic differentiation 1-like 3","HER_18057.t1"
"SPU_015984","Sp-Prox1","GO:0000978","prospero-related homeobox 1-like, Prox1/2-like, prospero (pros) homolog","HER_18054.t1"
"SPU_015984","Sp-Prox1","GO:0000978","prospero-related homeobox 1-like, Prox1/2-like, prospero (pros) homolog","HER_18054.t2"
"SPU_016168","Sp-Mef2","GO:0000977","myocyte enhancer factor 2","HER_10328.t1"
"SPU_016343","Sp-E12",NA,"transcription factor E2A (E12)-like, Tcf3/4/12-like, daughterless (da) homolog","HER_37456.t1"
"SPU_016343","Sp-E12",NA,"transcription factor E2A (E12)-like, Tcf3/4/12-like, daughterless (da) homolog","HER_37456.t2"
"SPU_016343","Sp-E12",NA,"transcription factor E2A (E12)-like, Tcf3/4/12-like, daughterless (da) homolog","HER_37456.t3"
"SPU_016343","Sp-E12",NA,"transcription factor E2A (E12)-like, Tcf3/4/12-like, daughterless (da) homolog","HER_37457.t1"
"SPU_016445","Sp-Tcf23/24","GO:0000977","transcription factor 23 and 24-like, OUT-like, Sp-Myor4","HER_2780.t1"
"SPU_016523","Sp-Rar","GO:0000978","retinoic acid receptor, Rara/b/g-like","HER_21472.t1"
"SPU_016617","Sp-Tulp4L","GO:0035556","Tubby-like protein 4, Tusp homolog, Sp-tubby","HER_35531.t1"
"SPU_016617","Sp-Tulp4L","GO:0035556","Tubby-like protein 4, Tusp homolog, Sp-tubby","HER_35531.t2"
"SPU_016617","Sp-Tulp4L","GO:0035556","Tubby-like protein 4, Tusp homolog, Sp-tubby","HER_35531.t3"
"SPU_016650","Sp-Par","GO:0000977","transcription factor 15 (Tcf15, paraxis)-like, scleraxis-like, Sp-Par1","HER_29564.t1"
"SPU_016650","Sp-Par","GO:0005768","transcription factor 15 (Tcf15, paraxis)-like, scleraxis-like, Sp-Par1","HER_37573.t1"
"SPU_016650","Sp-Par","GO:0005768","transcription factor 15 (Tcf15, paraxis)-like, scleraxis-like, Sp-Par1","HER_37577.t1"
"SPU_016685","Sp-Ap2","GO:0000977","transcription factor AP-2, Sp-Tfap2","HER_3720.t1_HER_3721.t1"
"SPU_016685","Sp-Ap2","GO:0000977","transcription factor AP-2, Sp-Tfap2","HER_3720.t1_HER_3721.t1.1.5f2d72be"
"SPU_016786","Sp-Isx","GO:0000977","intestine specific homeobox-like, RAXLX-like, Rx2-like, Sp-Rhox3, Sp-Rx, Sp-Eygl","HER_13616.t1"
"SPU_016786","Sp-Isx","GO:0000977","intestine specific homeobox-like, RAXLX-like, Rx2-like, Sp-Rhox3, Sp-Rx, Sp-Eygl","HER_13644.t1"
"SPU_017249","Sp-Arxl","GO:0000977","dorsal root ganglia homeobox-like, Drgx, Drg11, Prrxl1","HER_24249.t1"
"SPU_017375","Sp-Nr2e6","GO:0000978","nuclear receptor subfamily 2 group E-like","HER_47442.t1"
"SPU_017491","Sp-Nr1m1","GO:0000122","nuclear receptor subfamily 1 group M member 1, NR1-like","HER_21506.t1"
"SPU_017492","Sp-Reverb","GO:0000122","nuclear receptor subfamily 1 group D-like, NR1D, Rev-Erb-a/b-like, Ear1/RVR-like","HER_21496.t1"
"SPU_017492","Sp-Reverb","GO:0000122","nuclear receptor subfamily 1 group D-like, NR1D, Rev-Erb-a/b-like, Ear1/RVR-like","HER_21496.t1.1.5f2c6beb"
"SPU_017636","Sp-Pax4L_1","GO:0000978","paired class homeodomain containing, Sp-Hypp_886","HER_37402.t1"
"SPU_017636","Sp-Pax4L_1",NA,"paired class homeodomain containing, Sp-Hypp_886","HER_37403.t1"
"SPU_017636","Sp-Pax4L_1","GO:0000978","paired class homeodomain containing, Sp-Hypp_886","HER_37419.t1"
"SPU_017725","Sp-P3a2","GO:0000978","DNA-binding protein P3A2, nuclear respiratory factor 1, Nrf1","HER_38954.t1"
"SPU_018392","Sp-Tbx20_1","GO:0000978","T-box 20","HER_44928.t1"
"SPU_018423","Sp-Ash2","GO:0046983","none","HER_18540.t1"
"SPU_018423","Sp-Ash2",NA,"none","HER_18541.t1"
"SPU_018423","Sp-Ash2",NA,"none","HER_23948.t1"
"SPU_018423","Sp-Ash2","GO:0000976","none","HER_23971.t1"
"SPU_018423","Sp-Ash2",NA,"none","HER_3639.t1"
"SPU_018423","Sp-Ash2",NA,"none","HER_3640.t1"
"SPU_018423","Sp-Ash2",NA,"none","HER_7349.t1"
"SPU_018423","Sp-Ash2",NA,"none","HER_7351.t1"
"SPU_018423","Sp-Ash2",NA,"none","HER_8774.t1"
"SPU_018423","Sp-Ash2",NA,"none","HER_8834.t1"
"SPU_018423","Sp-Ash2",NA,"none","HER_8835.t1"
"SPU_018423","Sp-Ash2",NA,"none","HER_8850.t1"
"SPU_018423","Sp-Ash2",NA,"none","HER_8851.t1"
"SPU_018423","Sp-Ash2","GO:0046983","none","HER_8852.t1"
"SPU_018483","Sp-Erg","GO:0043565","v-ets oncogene related (Erg)-like, Friend leukemia integration 1 (Fli1)-like","HER_43628.t1"
"SPU_018483","Sp-Erg","GO:0043565","v-ets oncogene related (Erg)-like, Friend leukemia integration 1 (Fli1)-like","HER_43628.t2"
"SPU_018692","Sp-Gro","GO:0003714","co-repressor protein groucho, transducin-like enhancer of split-like, Tle-like, Sp-Groucho, Sp-Tle1/Groucho","HER_11676.t1_HER_11677.t1"
"SPU_018845","Sp-Nr1m4","GO:0000122","nuclear receptor subfamily 1 group M member 4, NR1-like","HER_13585.t1"
"SPU_018951","Sp-Prx","GO:0000978","paired related homeobox, Sp-Prx1, Sp-Prrx, Pmx","HER_47712.t1"
"SPU_018951","Sp-Prx",NA,"paired related homeobox, Sp-Prx1, Sp-Prrx, Pmx","HER_47717.t1"
"SPU_018954","Sp-Awh","GO:0000977","Arrowhead (Drosophila) homolog,  LIM homeobox protein Awh, Lhx6/8-like","HER_47907.t1"
"SPU_019129","Sp-Eyg","GO:0000978","eyegone homolog","HER_41513.t1"
"SPU_019268","Sp-Shox","GO:0000981","short stature homeobox, Phog","HER_20639.t1"
"SPU_019338","Sp-Arx","GO:0000977","aristaless related homeobox-like, Sp-Alx","HER_21012.t1"
"SPU_019345","Sp-FoxQ1","GO:0000978","forkhead box Q1, SpfoxQ1","HER_46337.t1"
"SPU_019586","Sp-Lmo4",NA,"LIM domain only 4","HER_48006.t1"
"SPU_020123","Sp-Elf","GO:0000981","E74-like factor (ets domain transcription factor), Sp-ElfB, Sp-ElfA","HER_49182.t1_HER_49184.t1"
"SPU_020123","Sp-Elf","GO:0000981","E74-like factor (ets domain transcription factor), Sp-ElfB, Sp-ElfA","HER_49182.t1_HER_49184.t1.1.5f2d7385"
"SPU_020124","Sp-ElfA","GO:0000981","E74-like factor (ets domain transcription factor) ","HER_49182.t1_HER_49184.t1.2.5f2d7385"
"SPU_020346","Sp-Tbx6","GO:0000978","T-box 6, Sp-Tbx6/16","HER_1427.t1"
"SPU_020346","Sp-Tbx6","GO:0000978","T-box 6, Sp-Tbx6/16","HER_1427.t1.1.5f2c6d0a"
"SPU_020565","Sp-Msxl","GO:0000977","Msh homeobox-like, Msxlx","HER_17706.t1"
"SPU_021119","Sp-MyoD","GO:0000978","myogenic differentiation 1-like, SUM-1, sea urchin myogenic factor 1, nautilus homolog","HER_26533.t1_HER_26535.t1"
"SPU_021123","Sp-L3mbt","GO:0003682","none","HER_4056.t1"
"SPU_021123","Sp-L3mbt","GO:0003682","none","HER_4074.t1"
"SPU_021173","Sp-Fos","GO:0000978","Fos(FBJ osteosarcoma oncogene)-like, Atf3/Jdp2-like","HER_17394.t1"
"SPU_021173","Sp-Fos","GO:0000978","Fos(FBJ osteosarcoma oncogene)-like, Atf3/Jdp2-like","HER_17394.t1.1.5f2c6b95"
"SPU_021173","Sp-Fos","GO:0000978","Fos(FBJ osteosarcoma oncogene)-like, Atf3/Jdp2-like","HER_47636.t1"
"SPU_021173","Sp-Fos","GO:0000978","Fos(FBJ osteosarcoma oncogene)-like, Atf3/Jdp2-like","HER_47636.t1.1.5f2c6a7b"
"SPU_021210","Sp-Tead","GO:0000978","TEA domain family member, transcriptional enhancer factor TEF-like, scalloped (sc) homolog, Sp-Tead4","HER_26720.t1"
"SPU_021210","Sp-Tead","GO:0000978","TEA domain family member, transcriptional enhancer factor TEF-like, scalloped (sc) homolog, Sp-Tead4","HER_26720.t2"
"SPU_021309","Sp-Hox8","GO:0000978","homeobox 8","HER_40060.t1"
"SPU_021491","Sp-ArxL2","GO:0000977","paired class homeodomain-containing, Drgx-like","HER_4647.t1"
"SPU_021557","Sp-Gabp","GO:0000981","GA repeat binding protein alpha, Gabpa","HER_40967.t1"
"SPU_022049","Sp-Msx","GO:0000977","msh-like homeobox, SpMsx","HER_9194.t1"
"SPU_022163","Sp-Max","GO:0003700","Myc-associated factor X","HER_18881.t1"
"SPU_022163","Sp-Max","GO:0003700","Myc-associated factor X","HER_18881.t1.1.5f2c6bcb"
